workload_nops,threads,lock,iterations,run_idx,time_ms_normalized_to_1m_iters
512,4,mcs,400000,2,598.652500
512,4,mcs,400000,3,603.060000
512,4,mcs,400000,4,609.167500
512,4,mcs,400000,5,619.775000
512,4,mcs,400000,6,607.920000
512,4,pspin,400000,0,332.055000
512,4,pspin,400000,1,327.345000
512,4,pspin,400000,2,318.972500
512,4,pspin,400000,3,331.477500
512,4,pspin,400000,4,326.057500
512,4,pspin,400000,5,325.360000
512,4,pspin,400000,6,346.637500
512,8,ttas,400000,0,1161.342500
512,8,ttas,400000,1,1144.385000
512,8,ttas,400000,2,1165.112500
512,8,ttas,400000,3,1049.592500
512,8,ttas,400000,4,1181.227500
512,8,ttas,400000,5,1240.640000
512,8,ttas,400000,6,1143.077500
512,8,pspin,400000,0,1011.877500
512,8,pspin,400000,1,1231.110000
512,8,pspin,400000,2,1112.010000
512,8,pspin,400000,3,1109.847500
512,8,pspin,400000,4,1113.500000
512,8,pspin,400000,5,1223.777500
512,8,pspin,400000,6,1167.897500
1024,1,ttas,400000,0,128.205000
1024,1,ttas,400000,1,126.285000
1024,1,ttas,400000,2,131.575000
1024,1,ttas,400000,3,126.737500
1024,1,ttas,400000,4,128.155000
1024,1,ttas,400000,5,131.752500
1024,1,ttas,400000,6,126.762500
1024,1,mcs,400000,0,134.490000
1024,1,mcs,400000,1,134.865000
1024,1,mcs,400000,2,129.692500
1024,1,mcs,400000,3,134.465000
1024,1,mcs,400000,4,132.710000
1024,1,mcs,400000,5,130.780000
1024,1,mcs,400000,6,128.872500
1024,1,pspin,400000,0,127.562500
1024,1,pspin,400000,1,127.530000
1024,1,pspin,400000,2,135.820000
1024,1,pspin,400000,3,128.672500
1024,1,pspin,400000,4,130.722500
1024,1,pspin,400000,5,128.655000
1024,1,pspin,400000,6,126.485000
1024,2,ttas,400000,0,266.962500
1024,2,ttas,400000,1,281.007500
1024,2,ttas,400000,2,277.407500
1024,2,ttas,400000,3,272.157500
1024,2,ttas,400000,4,274.732500
1024,2,ttas,400000,5,267.797500
1024,2,ttas,400000,6,274.797500
1024,2,mcs,400000,0,402.577500
1024,2,mcs,400000,1,374.175000
1024,2,mcs,400000,2,385.635000
1024,2,mcs,400000,3,389.367500
1024,2,mcs,400000,4,384.265000
1024,2,mcs,400000,5,412.055000
1024,2,mcs,400000,6,348.817500
1024,2,pspin,400000,0,279.662500
1024,2,pspin,400000,1,281.307500
1024,2,pspin,400000,2,269.012500
1024,2,pspin,400000,3,271.557500
1024,2,pspin,400000,4,266.882500
1024,2,pspin,400000,5,279.932500
1024,2,pspin,400000,6,278.472500
1024,4,ttas,400000,0,606.517500
1024,4,ttas,400000,1,580.395000
1024,4,ttas,400000,2,599.775000
1024,4,ttas,400000,3,581.205000
1024,4,ttas,400000,4,571.577500
1024,4,ttas,400000,5,584.580000
1024,4,ttas,400000,6,627.907500
1024,4,mcs,400000,0,893.530000
1024,4,mcs,400000,1,904.097500
1024,4,mcs,400000,2,898.775000
1024,4,mcs,400000,3,900.902500
1024,4,mcs,400000,4,902.122500
1024,4,mcs,400000,5,893.305000
1024,4,mcs,400000,6,894.197500
1024,4,pspin,400000,0,593.740000
1024,4,pspin,400000,1,582.915000
1024,4,pspin,400000,2,571.535000
1024,4,pspin,400000,3,578.947500
1024,4,pspin,400000,4,583.942500
1024,4,pspin,400000,5,583.480000
1024,4,pspin,400000,6,571.692500
1024,8,ttas,400000,0,2260.787500
1024,8,ttas,400000,1,1970.157500
1024,8,ttas,400000,2,2079.667500
1024,8,ttas,400000,3,1868.527500
1024,8,ttas,400000,4,1993.867500
1024,8,ttas,400000,5,1893.332500
1024,8,ttas,400000,6,2036.727500
1024,8,pspin,400000,0,1962.965000
1024,8,pspin,400000,1,1771.035000
1024,8,pspin,400000,2,2183.787500
1024,8,pspin,400000,3,1965.285000
1024,8,pspin,400000,4,2006.385000
1024,8,pspin,400000,5,1868.605000
1024,8,pspin,400000,6,1887.487500
